...1,Subject.ID,grade,classroom,class,relig,Question,Category,Sequence,Response,Gender,egoID,Attitudes_BadMarks,Attitudes_Boys,Attitudes_Girls,Attitudes_GoodMarks,Attitudes_Hindus,Attitudes_Muslims,Attitudes_MyCaste,Attitudes_MyLang,Attitudes_OtherCaste,Attitudes_OtherLang,Attitudes_Poor,Attitudes_Rich,CasteForced_CasteForced,CasteOpen_CasteOpen,Gender_Gender,Identification_Caste,Identification_Gender,Identification_Language,Identification_Marks,Identification_Religion,Identification_School,Language_Language,ReligFreq_Celebrate,ReligFreq_Pray,ReligFreq_Read,ReligFreq_ReligiousPlace,Religion_Religion,Religiosity_Religiosity,ResourceAlloc_Friend,ResourceAlloc_Krishna,ResourceAlloc_Mohammed,SchoolHarmony_BoyGirl,SchoolHarmony_HinduMuslim,SchoolHarmony_InterCaste,SchoolHarmony_People,SchoolHarmony_RichPoor,Wellbeing_EnoughFriends,Wellbeing_Happy,Wellbeing_Lonely,Wellbeing_OthersMean,altGender,altRelig,altIDcaste,altIDgend,altIDlang,altIDmarks,altIDrelig,altIDschool,altReligCelebrate,altReligPray,altReligRead,altReligPlace,altReligiosity,altResourceFriend,altResourceHindu,altResourceMuslim,altHarmGender,altHarmRelig,altHarmCaste,altHarmPeople,altHarmSES,allWellFriends,altWellHappy,altWellLonely,altWellOthersMean,altAttBoys,altAttGirls,altAttHindu,altAttMuslim,ownGender,ownRelig,classID
7192,B0945,9,B,9B,Hindu,Friends,Friend2,1,53,F,45,6,6,7,6,7,6,7,7,7,7,6,6,7,SINDHI,2,1,1,1,2,1,1,4,4,1,5,3,1,2,4,4,4,1,1,1,1,1,1,1,2,3,F,Hindu,1,2,1,1,4,1,3,1,3,2,1,4,7,5,1,1,1,3,1,2,1,2,1,5,6,7,5,1,1,B9
7193,B0945,9,B,9B,Hindu,Friends,Friend3,1,54,F,45,6,6,7,6,7,6,7,7,7,7,6,6,7,SINDHI,2,1,1,1,2,1,1,4,4,1,5,3,1,2,4,4,4,1,1,1,1,1,1,1,2,3,F,Hindu,1,2,2,1,2,1,4,1,5,5,1,4,4,4,1,1,1,NA,1,1,2,5,3,4,6,7,6,1,1,B9
7194,B0945,9,B,9B,Hindu,Friends,Friend4,1,56,F,45,6,6,7,6,7,6,7,7,7,7,6,6,7,SINDHI,2,1,1,1,2,1,1,4,4,1,5,3,1,2,4,4,4,1,1,1,1,1,1,1,2,3,F,Hindu,1,1,2,2,1,1,4,1,5,4,3,4,4,1,1,1,1,4,1,3,1,1,1,7,7,7,4,1,1,B9
7195,B0945,9,B,9B,Hindu,Friends,Friend5,1,58,F,45,6,6,7,6,7,6,7,7,7,7,6,6,7,SINDHI,2,1,1,1,2,1,1,4,4,1,5,3,1,2,4,4,4,1,1,1,1,1,1,1,2,3,F,Hindu,4,2,3,1,3,2,4,5,5,5,4,7,4,4,1,1,1,2,1,1,1,5,2,6,7,7,6,1,1,B9
7196,B0945,9,B,9B,Hindu,Friends,Friend6,1,61,F,45,6,6,7,6,7,6,7,7,7,7,6,6,7,SINDHI,2,1,1,1,2,1,1,4,4,1,5,3,1,2,4,4,4,1,1,1,1,1,1,1,2,3,F,Hindu,2,2,2,1,2,1,3,1,2,2,2,4,4,4,1,1,1,3,1,1,1,5,5,5,7,6,6,1,1,B9
7197,B0945,9,B,9B,Hindu,Friends,Friend7,1,66,F,45,6,6,7,6,7,6,7,7,7,7,6,6,7,SINDHI,2,1,1,1,2,1,1,4,4,1,5,3,1,2,4,4,4,1,1,1,1,1,1,1,2,3,F,Hindu,2,2,2,2,2,1,3,2,4,2,2,4,4,4,1,1,1,2,1,2,2,5,3,6,7,6,6,1,1,B9
7198,B0946,9,B,9B,Muslim,Friends,Friend1,1,47,F,46,4,2,6,2,3,6,6,6,6,2,6,4,7,Sunni,2,1,1,2,3,1,1,2,4,1,1,2,2,3,2,3,3,3,1,2,2,1,2,3,5,3,F,Muslim,1,1,1,2,1,2,4,1,1,1,2,4,3,3,3,1,1,1,1,1,1,5,3,1,6,4,7,1,1,B9
7199,B0946,9,B,9B,Muslim,Friends,Friend2,1,50,F,46,4,2,6,2,3,6,6,6,6,2,6,4,7,Sunni,2,1,1,2,3,1,1,2,4,1,1,2,2,3,2,3,3,3,1,2,2,1,2,3,5,3,F,Muslim,1,2,3,2,1,2,4,1,1,2,2,4,3,3,1,1,1,2,1,2,1,5,2,4,7,6,7,1,1,B9
7200,B0946,9,B,9B,Muslim,Friends,Friend3,1,51,F,46,4,2,6,2,3,6,6,6,6,2,6,4,7,Sunni,2,1,1,2,3,1,1,2,4,1,1,2,2,3,2,3,3,3,1,2,2,1,2,3,5,3,F,Muslim,1,1,2,1,1,1,3,1,2,2,2,4,4,4,1,1,1,1,1,1,1,5,2,5,7,6,6,1,1,B9
7201,B0946,9,B,9B,Muslim,Friends,Friend4,1,52,F,46,4,2,6,2,3,6,6,6,6,2,6,4,7,Sunni,2,1,1,2,3,1,1,2,4,1,1,2,2,3,2,3,3,3,1,2,2,1,2,3,5,3,F,Muslim,1,1,2,1,1,2,3,1,1,2,2,4,4,4,1,1,1,2,1,1,1,4,2,6,6,6,7,1,1,B9
7202,B0946,9,B,9B,Muslim,Friends,Friend5,1,57,F,46,4,2,6,2,3,6,6,6,6,2,6,4,7,Sunni,2,1,1,2,3,1,1,2,4,1,1,2,2,3,2,3,3,3,1,2,2,1,2,3,5,3,F,Muslim,1,2,2,1,1,2,4,1,1,1,1,6,5,7,3,2,2,4,3,1,1,3,3,3,6,3,7,1,1,B9
7203,B0946,9,B,9B,Muslim,Friends,Friend6,1,65,F,46,4,2,6,2,3,6,6,6,6,2,6,4,7,Sunni,2,1,1,2,3,1,1,2,4,1,1,2,2,3,2,3,3,3,1,2,2,1,2,3,5,3,F,Muslim,1,1,2,1,1,2,3,1,1,2,1,4,4,4,1,1,1,3,1,1,1,3,2,6,6,5,7,1,1,B9
7204,B0946,9,B,9B,Muslim,Friends,Friend7,1,67,F,46,4,2,6,2,3,6,6,6,6,2,6,4,7,Sunni,2,1,1,2,3,1,1,2,4,1,1,2,2,3,2,3,3,3,1,2,2,1,2,3,5,3,F,Muslim,1,1,2,1,1,1,3,1,1,2,1,4,4,4,1,1,1,3,1,1,1,3,2,6,6,NA,NA,1,1,B9
7205,B0947,9,B,9B,Muslim,Friends,Friend1,1,46,F,47,4,1,6,4,4,7,1,5,3,4,6,1,7,Alavi Vohra,2,1,1,1,2,1,2,1,4,1,1,1,2,2,4,3,3,3,1,1,1,1,1,1,5,3,F,Muslim,1,1,2,3,1,1,4,1,1,2,3,2,3,3,3,1,2,2,1,2,3,5,3,2,6,3,6,1,1,B9
7206,B0947,9,B,9B,Muslim,Friends,Friend2,1,50,F,47,4,1,6,4,4,7,1,5,3,4,6,1,7,Alavi Vohra,2,1,1,1,2,1,2,1,4,1,1,1,2,2,4,3,3,3,1,1,1,1,1,1,5,3,F,Muslim,1,2,3,2,1,2,4,1,1,2,2,4,3,3,1,1,1,2,1,2,1,5,2,4,7,6,7,1,1,B9
7207,B0947,9,B,9B,Muslim,Friends,Friend3,1,51,F,47,4,1,6,4,4,7,1,5,3,4,6,1,7,Alavi Vohra,2,1,1,1,2,1,2,1,4,1,1,1,2,2,4,3,3,3,1,1,1,1,1,1,5,3,F,Muslim,1,1,2,1,1,1,3,1,2,2,2,4,4,4,1,1,1,1,1,1,1,5,2,5,7,6,6,1,1,B9
7208,B0947,9,B,9B,Muslim,Friends,Friend4,1,57,F,47,4,1,6,4,4,7,1,5,3,4,6,1,7,Alavi Vohra,2,1,1,1,2,1,2,1,4,1,1,1,2,2,4,3,3,3,1,1,1,1,1,1,5,3,F,Muslim,1,2,2,1,1,2,4,1,1,1,1,6,5,7,3,2,2,4,3,1,1,3,3,3,6,3,7,1,1,B9
7209,B0947,9,B,9B,Muslim,Friends,Friend5,1,68,F,47,4,1,6,4,4,7,1,5,3,4,6,1,7,Alavi Vohra,2,1,1,1,2,1,2,1,4,1,1,1,2,2,4,3,3,3,1,1,1,1,1,1,5,3,F,Muslim,1,1,1,1,2,1,4,1,1,5,1,5,4,6,1,1,1,3,2,2,1,4,2,6,7,6,7,1,1,B9
7210,B0948,9,B,9B,Muslim,Friends,Friend1,1,45,F,48,5,5,6,5,6,6,6,6,5,6,6,5,7,MUSLIM,2,1,1,2,5,2,1,1,4,1,1,2,2,1,4,4,4,1,1,1,3,1,2,1,3,1,F,Hindu,1,1,1,2,1,1,4,1,5,3,2,4,4,4,1,1,1,1,1,1,1,2,3,6,7,7,6,1,0,B9
7211,B0948,9,B,9B,Muslim,Friends,Friend2,1,46,F,48,5,5,6,5,6,6,6,6,5,6,6,5,7,MUSLIM,2,1,1,2,5,2,1,1,4,1,1,2,2,1,4,4,4,1,1,1,3,1,2,1,3,1,F,Muslim,1,1,2,3,1,1,4,1,1,2,3,2,3,3,3,1,2,2,1,2,3,5,3,2,6,3,6,1,1,B9
7212,B0948,9,B,9B,Muslim,Friends,Friend3,1,47,F,48,5,5,6,5,6,6,6,6,5,6,6,5,7,MUSLIM,2,1,1,2,5,2,1,1,4,1,1,2,2,1,4,4,4,1,1,1,3,1,2,1,3,1,F,Muslim,1,1,1,2,1,2,4,1,1,1,2,4,3,3,3,1,1,1,1,1,1,5,3,1,6,4,7,1,1,B9
