...1,Subject.ID,grade,classroom,class,relig,Question,Category,Sequence,Response,Gender,egoID,Attitudes_BadMarks,Attitudes_Boys,Attitudes_Girls,Attitudes_GoodMarks,Attitudes_Hindus,Attitudes_Muslims,Attitudes_MyCaste,Attitudes_MyLang,Attitudes_OtherCaste,Attitudes_OtherLang,Attitudes_Poor,Attitudes_Rich,CasteForced_CasteForced,CasteOpen_CasteOpen,Gender_Gender,Identification_Caste,Identification_Gender,Identification_Language,Identification_Marks,Identification_Religion,Identification_School,Language_Language,ReligFreq_Celebrate,ReligFreq_Pray,ReligFreq_Read,ReligFreq_ReligiousPlace,Religion_Religion,Religiosity_Religiosity,ResourceAlloc_Friend,ResourceAlloc_Krishna,ResourceAlloc_Mohammed,SchoolHarmony_BoyGirl,SchoolHarmony_HinduMuslim,SchoolHarmony_InterCaste,SchoolHarmony_People,SchoolHarmony_RichPoor,Wellbeing_EnoughFriends,Wellbeing_Happy,Wellbeing_Lonely,Wellbeing_OthersMean,altGender,altRelig,altIDcaste,altIDgend,altIDlang,altIDmarks,altIDrelig,altIDschool,altReligCelebrate,altReligPray,altReligRead,altReligPlace,altReligiosity,altResourceFriend,altResourceHindu,altResourceMuslim,altHarmGender,altHarmRelig,altHarmCaste,altHarmPeople,altHarmSES,allWellFriends,altWellHappy,altWellLonely,altWellOthersMean,altAttBoys,altAttGirls,altAttHindu,altAttMuslim,ownGender,ownRelig,classID
870,B0603,6,B,6B,Hindu,Enemies,Enemy3,2,7,M,3,7,5,2,NA,7,1,6,4,2,3,5,6,2,NA,1,1,3,2,3,1,2,1,3,4,2,2,1,1,3,3,2,1,2,3,2,1,1,1,3,2,M,Muslim,1,1,2,1,1,1,4,1,1,1,1,4,4,4,1,1,1,3,4,5,1,5,3,7,7,3,NA,1,0,B6
871,B0603,6,B,6B,Hindu,Enemies,Enemy4,2,8,M,3,7,5,2,NA,7,1,6,4,2,3,5,6,2,NA,1,1,3,2,3,1,2,1,3,4,2,2,1,1,3,3,2,1,2,3,2,1,1,1,3,2,M,Muslim,2,2,1,1,1,1,2,1,2,1,3,4,4,3,2,2,1,1,1,1,1,3,3,7,5,3,7,1,0,B6
872,B0603,6,B,6B,Hindu,Enemies,Enemy5,2,11,M,3,7,5,2,NA,7,1,6,4,2,3,5,6,2,NA,1,1,3,2,3,1,2,1,3,4,2,2,1,1,3,3,2,1,2,3,2,1,1,1,3,2,M,Hindu,1,2,1,1,1,1,2,1,1,2,1,7,4,5,2,3,2,2,1,1,1,2,4,7,3,7,1,1,1,B6
873,B0603,6,B,6B,Hindu,Enemies,Enemy6,2,13,M,3,7,5,2,NA,7,1,6,4,2,3,5,6,2,NA,1,1,3,2,3,1,2,1,3,4,2,2,1,1,3,3,2,1,2,3,2,1,1,1,3,2,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B6
874,B0603,6,B,6B,Hindu,Enemies,Enemy7,2,15,M,3,7,5,2,NA,7,1,6,4,2,3,5,6,2,NA,1,1,3,2,3,1,2,1,3,4,2,2,1,1,3,3,2,1,2,3,2,1,1,1,3,2,M,Muslim,NA,1,2,2,1,1,1,4,5,1,1,7,5,7,1,5,2,1,3,1,1,2,3,7,7,1,7,1,0,B6
875,B0604,6,B,6B,Hindu,Enemies,Enemy1,2,1,M,4,5,7,7,7,7,6,7,7,6,7,7,1,2,NA,1,1,1,1,1,1,1,4,3,1,2,2,1,1,4,7,2,5,5,5,5,5,4,5,1,5,M,Muslim,1,1,1,1,1,1,5,1,1,1,1,3,3,3,3,3,1,1,2,3,3,4,4,7,4,5,7,1,0,B6
876,B0604,6,B,6B,Hindu,Enemies,Enemy2,2,5,M,4,5,7,7,7,7,6,7,7,6,7,7,1,2,NA,1,1,1,1,1,1,1,4,3,1,2,2,1,1,4,7,2,5,5,5,5,5,4,5,1,5,M,Muslim,1,4,1,1,1,3,4,2,1,3,1,4,3,4,2,1,1,2,1,5,2,5,1,NA,2,3,7,1,0,B6
877,B0604,6,B,6B,Hindu,Enemies,Enemy3,2,7,M,4,5,7,7,7,7,6,7,7,6,7,7,1,2,NA,1,1,1,1,1,1,1,4,3,1,2,2,1,1,4,7,2,5,5,5,5,5,4,5,1,5,M,Muslim,1,1,2,1,1,1,4,1,1,1,1,4,4,4,1,1,1,3,4,5,1,5,3,7,7,3,NA,1,0,B6
878,B0604,6,B,6B,Hindu,Enemies,Enemy4,2,13,M,4,5,7,7,7,7,6,7,7,6,7,7,1,2,NA,1,1,1,1,1,1,1,4,3,1,2,2,1,1,4,7,2,5,5,5,5,5,4,5,1,5,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B6
879,B0604,6,B,6B,Hindu,Enemies,Enemy5,2,15,M,4,5,7,7,7,7,6,7,7,6,7,7,1,2,NA,1,1,1,1,1,1,1,4,3,1,2,2,1,1,4,7,2,5,5,5,5,5,4,5,1,5,M,Muslim,NA,1,2,2,1,1,1,4,5,1,1,7,5,7,1,5,2,1,3,1,1,2,3,7,7,1,7,1,0,B6
880,B0604,6,B,6B,Hindu,Enemies,Enemy6,2,20,M,4,5,7,7,7,7,6,7,7,6,7,7,1,2,NA,1,1,1,1,1,1,1,4,3,1,2,2,1,1,4,7,2,5,5,5,5,5,4,5,1,5,M,Muslim,1,1,1,1,1,1,2,1,2,1,1,4,4,4,2,3,4,1,2,1,3,5,2,7,NA,1,7,1,0,B6
