X1,Subject.ID,grade,classroom,class,relig,Question,Category,Sequence,Response,Gender,egoID,Attitudes_BadMarks,Attitudes_Boys,Attitudes_Girls,Attitudes_GoodMarks,Attitudes_Hindus,Attitudes_Muslims,Attitudes_MyCaste,Attitudes_MyLang,Attitudes_OtherCaste,Attitudes_OtherLang,Attitudes_Poor,Attitudes_Rich,CasteForced_CasteForced,CasteOpen_CasteOpen,Gender_Gender,Identification_Caste,Identification_Gender,Identification_Language,Identification_Marks,Identification_Religion,Identification_School,Language_Language,ReligFreq_Celebrate,ReligFreq_Pray,ReligFreq_Read,ReligFreq_ReligiousPlace,Religion_Religion,Religiosity_Religiosity,ResourceAlloc_Friend,ResourceAlloc_Krishna,ResourceAlloc_Mohammed,SchoolHarmony_BoyGirl,SchoolHarmony_HinduMuslim,SchoolHarmony_InterCaste,SchoolHarmony_People,SchoolHarmony_RichPoor,Wellbeing_EnoughFriends,Wellbeing_Happy,Wellbeing_Lonely,Wellbeing_OthersMean,altGender,altRelig,altIDcaste,altIDgend,altIDlang,altIDmarks,altIDrelig,altIDschool,altReligCelebrate,altReligPray,altReligRead,altReligPlace,altReligiosity,altResourceFriend,altResourceHindu,altResourceMuslim,altHarmGender,altHarmRelig,altHarmCaste,altHarmPeople,altHarmSES,allWellFriends,altWellHappy,altWellLonely,altWellOthersMean,altAttBoys,altAttGirls,altAttHindu,altAttMuslim,ownGender,ownRelig,classID,propMale,propHindu,propOther,classsize,internelEdge,ownGendAtt,othGendAtt,ownGendAdv,gradeCent,ownReligAdv
21,A0305,3,A,3A,Muslim,Friends,Friend1,1,2,M,5,NA,7,1,NA,1,7,7,7,1,4,4,5,7,sanhi vohra,1,1,3,2,1,1,1,2,4,1,1,1,2,1,4,1,7,NA,NA,NA,NA,NA,1,1,3,3,M,Muslim,4,5,1,1,1,4,3,1,1,4,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,7,1,1,7,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
22,A0305,3,A,3A,Muslim,Friends,Friend2,1,8,M,5,NA,7,1,NA,1,7,7,7,1,4,4,5,7,sanhi vohra,1,1,3,2,1,1,1,2,4,1,1,1,2,1,4,1,7,NA,NA,NA,NA,NA,1,1,3,3,M,Muslim,1,5,3,2,1,2,4,1,1,1,1,4,1,7,NA,NA,NA,NA,NA,1,3,4,2,7,1,1,7,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
23,A0305,3,A,3A,Muslim,Friends,Friend3,1,9,M,5,NA,7,1,NA,1,7,7,7,1,4,4,5,7,sanhi vohra,1,1,3,2,1,1,1,2,4,1,1,1,2,1,4,1,7,NA,NA,NA,NA,NA,1,1,3,3,M,Muslim,1,2,2,1,1,1,4,1,1,1,1,4,1,4,NA,NA,NA,NA,NA,5,2,5,4,6,2,1,7,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
24,A0305,3,A,3A,Muslim,Friends,Friend4,1,15,M,5,NA,7,1,NA,1,7,7,7,1,4,4,5,7,sanhi vohra,1,1,3,2,1,1,1,2,4,1,1,1,2,1,4,1,7,NA,NA,NA,NA,NA,1,1,3,3,M,Muslim,1,1,1,1,1,1,4,1,1,1,1,3,2,6,NA,NA,NA,NA,NA,1,1,1,5,7,6,2,7,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
25,A0305,3,A,3A,Muslim,Friends,Friend5,1,28,M,5,NA,7,1,NA,1,7,7,7,1,4,4,5,7,sanhi vohra,1,1,3,2,1,1,1,2,4,1,1,1,2,1,4,1,7,NA,NA,NA,NA,NA,1,1,3,3,M,Muslim,1,1,NA,NA,4,1,4,1,1,2,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,7,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
26,A0305,3,A,3A,Muslim,Friends,Friend6,1,33,M,5,NA,7,1,NA,1,7,7,7,1,4,4,5,7,sanhi vohra,1,1,3,2,1,1,1,2,4,1,1,1,2,1,4,1,7,NA,NA,NA,NA,NA,1,1,3,3,M,Muslim,1,1,1,1,1,1,1,1,1,1,1,4,1,4,NA,NA,NA,NA,NA,1,1,1,1,7,1,1,7,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
27,A0306,3,A,3A,Hindu,Friends,Friend1,1,1,M,6,NA,7,2,NA,7,2,7,7,5,2,2,5,8,NA,1,1,3,1,2,2,1,4,4,4,5,4,1,1,4,4,3,NA,NA,NA,NA,NA,3,2,4,1,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,2,1.1161115194150406,-3.5,5
28,A0306,3,A,3A,Hindu,Friends,Friend2,1,20,M,6,NA,7,2,NA,7,2,7,7,5,2,2,5,8,NA,1,1,3,1,2,2,1,4,4,4,5,4,1,1,4,4,3,NA,NA,NA,NA,NA,3,2,4,1,M,Hindu,4,2,1,1,2,1,4,1,1,1,1,4,4,6,NA,NA,NA,NA,NA,2,1,3,1,7,1,7,1,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,2,1.1161115194150406,-3.5,5
29,A0306,3,A,3A,Hindu,Friends,Friend3,1,22,M,6,NA,7,2,NA,7,2,7,7,5,2,2,5,8,NA,1,1,3,1,2,2,1,4,4,4,5,4,1,1,4,4,3,NA,NA,NA,NA,NA,3,2,4,1,M,Hindu,2,2,4,1,3,1,3,1,5,2,3,3,3,3,NA,NA,NA,NA,NA,4,4,5,5,7,2,7,NA,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,2,1.1161115194150406,-3.5,5
30,A0306,3,A,3A,Hindu,Friends,Friend4,1,25,M,6,NA,7,2,NA,7,2,7,7,5,2,2,5,8,NA,1,1,3,1,2,2,1,4,4,4,5,4,1,1,4,4,3,NA,NA,NA,NA,NA,3,2,4,1,M,Hindu,1,2,1,1,3,1,3,2,NA,4,2,4,5,6,NA,NA,NA,NA,NA,1,5,3,2,6,2,6,1,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,2,1.1161115194150406,-3.5,5
31,A0306,3,A,3A,Hindu,Friends,Friend5,1,26,M,6,NA,7,2,NA,7,2,7,7,5,2,2,5,8,NA,1,1,3,1,2,2,1,4,4,4,5,4,1,1,4,4,3,NA,NA,NA,NA,NA,3,2,4,1,M,Hindu,1,1,1,1,1,1,3,1,1,2,1,4,4,4,NA,NA,NA,NA,NA,1,1,3,3,4,4,7,4,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,2,1.1161115194150406,-3.5,5
32,A0306,3,A,3A,Hindu,Friends,Friend6,1,30,M,6,NA,7,2,NA,7,2,7,7,5,2,2,5,8,NA,1,1,3,1,2,2,1,4,4,4,5,4,1,1,4,4,3,NA,NA,NA,NA,NA,3,2,4,1,M,Hindu,1,2,3,1,2,1,4,2,2,2,1,4,4,4,NA,NA,NA,NA,NA,1,1,5,5,7,4,7,2,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,2,1.1161115194150406,-3.5,5
33,A0306,3,A,3A,Hindu,Friends,Friend7,1,32,M,6,NA,7,2,NA,7,2,7,7,5,2,2,5,8,NA,1,1,3,1,2,2,1,4,4,4,5,4,1,1,4,4,3,NA,NA,NA,NA,NA,3,2,4,1,M,Hindu,1,1,1,1,1,1,4,1,1,1,1,4,1,1,NA,NA,NA,NA,NA,1,1,5,3,7,1,7,1,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,2,1.1161115194150406,-3.5,5
34,A0307,3,A,3A,Hindu,Friends,Friend1,1,3,M,7,NA,7,3,NA,7,4,7,6,1,7,4,6,2,NA,1,1,2,3,1,1,1,1,4,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,2,4,M,Hindu,1,2,2,1,3,1,3,1,1,2,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,7,1,7,1,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,3,0.6864206072859173,-3.5,3
35,A0307,3,A,3A,Hindu,Friends,Friend2,1,4,M,7,NA,7,3,NA,7,4,7,6,1,7,4,6,2,NA,1,1,2,3,1,1,1,1,4,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,2,4,M,Hindu,2,2,4,1,1,1,4,1,1,5,1,3,5,4,NA,NA,NA,NA,NA,1,1,3,3,7,6,7,1,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,3,0.6864206072859173,-3.5,3
36,A0307,3,A,3A,Hindu,Friends,Friend3,1,7,M,7,NA,7,3,NA,7,4,7,6,1,7,4,6,2,NA,1,1,2,3,1,1,1,1,4,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,2,4,M,Hindu,1,2,3,1,1,1,4,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,2,4,7,3,7,4,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,3,0.6864206072859173,-3.5,3
37,A0307,3,A,3A,Hindu,Friends,Friend4,1,18,M,7,NA,7,3,NA,7,4,7,6,1,7,4,6,2,NA,1,1,2,3,1,1,1,1,4,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,2,4,M,Hindu,5,2,4,1,3,1,4,1,4,3,1,2,1,1,NA,NA,NA,NA,NA,3,1,3,3,7,2,7,4,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,3,0.6864206072859173,-3.5,3
38,A0307,3,A,3A,Hindu,Friends,Friend5,1,20,M,7,NA,7,3,NA,7,4,7,6,1,7,4,6,2,NA,1,1,2,3,1,1,1,1,4,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,2,4,M,Hindu,4,2,1,1,2,1,4,1,1,1,1,4,4,6,NA,NA,NA,NA,NA,2,1,3,1,7,1,7,1,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,3,0.6864206072859173,-3.5,3
39,A0307,3,A,3A,Hindu,Friends,Friend6,1,23,M,7,NA,7,3,NA,7,4,7,6,1,7,4,6,2,NA,1,1,2,3,1,1,1,1,4,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,2,4,M,Hindu,3,4,1,1,2,1,3,1,1,1,1,4,4,6,NA,NA,NA,NA,NA,1,1,2,3,7,1,7,1,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,3,0.6864206072859173,-3.5,3
40,A0307,3,A,3A,Hindu,Friends,Friend7,1,41,M,7,NA,7,3,NA,7,4,7,6,1,7,4,6,2,NA,1,1,2,3,1,1,1,1,4,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,2,4,F,Hindu,2,NA,3,1,1,1,4,1,1,2,1,4,4,4,NA,NA,NA,NA,NA,1,1,5,3,4,7,7,4,0,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,3,0.6864206072859173,-3.5,3
41,A0307,3,A,3A,Hindu,Friends,Friend8,1,53,M,7,NA,7,3,NA,7,4,7,6,1,7,4,6,2,NA,1,1,2,3,1,1,1,1,4,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,2,4,F,Hindu,1,1,1,1,1,1,4,1,5,3,1,2,3,2,NA,NA,NA,NA,NA,1,2,3,4,1,7,7,1,0,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,3,0.6864206072859173,-3.5,3
42,A0307,3,A,3A,Hindu,Friends,Friend9,1,58,M,7,NA,7,3,NA,7,4,7,6,1,7,4,6,2,NA,1,1,2,3,1,1,1,1,4,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,2,4,F,Hindu,2,3,2,1,2,1,3,1,2,2,1,7,4,2,NA,NA,NA,NA,NA,4,2,3,5,5,7,7,1,0,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,3,0.6864206072859173,-3.5,3
43,A0308,3,A,3A,Muslim,Friends,Friend1,1,2,M,8,NA,7,1,NA,1,7,3,6,1,2,6,5,7,sunni vohra,1,1,5,3,2,1,2,2,4,1,1,1,2,1,4,1,7,NA,NA,NA,NA,NA,1,3,4,2,M,Muslim,4,5,1,1,1,4,3,1,1,4,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,7,1,1,7,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
44,A0308,3,A,3A,Muslim,Friends,Friend2,1,5,M,8,NA,7,1,NA,1,7,3,6,1,2,6,5,7,sunni vohra,1,1,5,3,2,1,2,2,4,1,1,1,2,1,4,1,7,NA,NA,NA,NA,NA,1,3,4,2,M,Muslim,1,3,2,1,1,1,4,1,1,1,1,4,1,7,NA,NA,NA,NA,NA,1,1,3,3,7,1,1,7,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
45,A0308,3,A,3A,Muslim,Friends,Friend3,1,9,M,8,NA,7,1,NA,1,7,3,6,1,2,6,5,7,sunni vohra,1,1,5,3,2,1,2,2,4,1,1,1,2,1,4,1,7,NA,NA,NA,NA,NA,1,3,4,2,M,Muslim,1,2,2,1,1,1,4,1,1,1,1,4,1,4,NA,NA,NA,NA,NA,5,2,5,4,6,2,1,7,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
