...1,Subject.ID,grade,classroom,class,relig,Question,Category,Sequence,Response,Gender,egoID,Attitudes_BadMarks,Attitudes_Boys,Attitudes_Girls,Attitudes_GoodMarks,Attitudes_Hindus,Attitudes_Muslims,Attitudes_MyCaste,Attitudes_MyLang,Attitudes_OtherCaste,Attitudes_OtherLang,Attitudes_Poor,Attitudes_Rich,CasteForced_CasteForced,CasteOpen_CasteOpen,Gender_Gender,Identification_Caste,Identification_Gender,Identification_Language,Identification_Marks,Identification_Religion,Identification_School,Language_Language,ReligFreq_Celebrate,ReligFreq_Pray,ReligFreq_Read,ReligFreq_ReligiousPlace,Religion_Religion,Religiosity_Religiosity,ResourceAlloc_Friend,ResourceAlloc_Krishna,ResourceAlloc_Mohammed,SchoolHarmony_BoyGirl,SchoolHarmony_HinduMuslim,SchoolHarmony_InterCaste,SchoolHarmony_People,SchoolHarmony_RichPoor,Wellbeing_EnoughFriends,Wellbeing_Happy,Wellbeing_Lonely,Wellbeing_OthersMean,altGender,altRelig,altIDcaste,altIDgend,altIDlang,altIDmarks,altIDrelig,altIDschool,altReligCelebrate,altReligPray,altReligRead,altReligPlace,altReligiosity,altResourceFriend,altResourceHindu,altResourceMuslim,altHarmGender,altHarmRelig,altHarmCaste,altHarmPeople,altHarmSES,allWellFriends,altWellHappy,altWellLonely,altWellOthersMean,altAttBoys,altAttGirls,altAttHindu,altAttMuslim,ownGender,ownRelig,classID,ID2017,class.2017,class.2016,DOB.2017,DOB.2016,testdate,ageinyears
2847,B0539,5,B,5B,Hindu,Friends,Friend1,1,45,F,39,1,3,6,7,7,2,6,5,5,3,4,4,2,NA,2,2,1,3,1,2,1,4,4,1,3,2,1,2,4,3,2,2,2,1,1,1,1,1,5,2,F,other,1,1,1,1,1,1,4,1,1,1,1,3,2,2,2,2,1,3,1,1,1,3,4,5,7,4,6,1,0,B5,Z06C37,6C,5B,7/8/2005,NA,1/14/2016,10.5260274
2854,B0540,5,B,5B,Muslim,Friends,Friend1,1,36,F,40,1,1,7,7,1,7,7,6,4,5,7,1,7,ALVI VOHRA,2,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,3,1,1,1,1,1,1,1,5,5,M,Muslim,1,1,1,1,1,1,1,1,1,1,1,4,3,4,1,3,1,1,1,2,1,4,2,7,1,4,4,0,1,B5,Z06C38,6C,5B,4/21/2006,4/21/2006,1/14/2016,9.739726027
2864,B0541,5,B,5B,Muslim,Friends,Friend1,1,43,F,41,6,1,7,7,2,7,7,5,6,5,6,6,7,SHAIKH,2,1,1,2,2,1,2,2,4,1,1,5,2,1,4,2,7,3,2,3,3,2,3,1,3,2,F,Muslim,3,1,1,1,1,1,3,1,1,1,1,4,4,4,3,1,2,2,1,1,2,5,3,1,7,4,7,1,1,B5,Z06C39,6C,5B,5/8/2004,5/8/2004,1/14/2016,11.69315068
2868,B0542,5,B,5B,Hindu,Friends,Friend1,1,10,F,42,4,4,4,NA,7,6,4,5,4,4,4,4,8,DON'T KNOW,2,1,4,1,1,1,1,1,4,1,2,1,1,1,4,4,7,1,1,1,1,1,1,1,5,3,M,Hindu,1,2,2,2,1,1,4,1,1,2,1,4,4,4,3,2,1,1,1,1,2,5,3,6,5,7,3,0,1,B5,Z06C40,6C,5B,8/29/2005,8/29/2005,1/14/2016,10.38356164
2875,B0543,5,B,5B,Muslim,Friends,Friend1,1,41,F,43,5,1,7,6,4,7,7,5,6,4,7,5,7,SUNNI,2,3,1,1,1,1,1,2,3,1,1,1,2,1,4,4,4,3,1,2,2,1,1,2,5,3,F,Muslim,1,1,2,2,1,2,4,1,1,5,1,4,2,7,3,2,3,3,2,3,1,3,2,1,7,2,7,1,1,B5,Z06C41,6C,5B,10/27/2005,10/27/2005,1/14/2016,10.22191781
2878,B0544,5,B,5B,other,Friends,Friend1,1,42,F,44,3,1,7,7,7,1,7,7,2,5,6,3,8,NA,2,1,1,1,1,2,1,1,4,1,4,3,NA,2,4,4,3,3,3,2,2,2,2,3,3,1,F,Hindu,1,4,1,1,1,1,4,1,2,1,1,4,4,7,1,1,1,1,1,1,1,5,3,4,4,7,6,1,0,B5,Z06B41,6B,5B,6/17/2006,6/17/2006,1/14/2016,9.583561644
2885,B0545,5,B,5B,other,Friends,Friend1,1,38,F,45,4,5,7,6,4,6,7,7,5,5,5,5,7,ALVI VOHARA,2,1,1,1,1,1,1,1,4,1,1,1,3,1,3,2,2,2,2,1,3,1,1,1,3,4,F,other,1,3,1,2,3,1,3,1,1,2,1,3,2,2,4,1,1,2,2,1,1,5,3,5,7,1,7,1,1,B5,Z06C42,6C,5B,1/14/2006,1/14/2006,1/14/2016,10.00547945
2894,B0546,5,B,5B,Hindu,Friends,Friend1,1,49,F,46,1,4,7,7,7,2,7,7,5,6,4,6,1,NA,2,1,1,1,1,1,1,2,5,1,5,5,1,1,4,4,5,2,1,1,1,3,1,1,3,2,F,other,1,2,2,2,2,1,4,1,5,2,1,4,5,3,2,1,2,1,1,1,2,5,2,2,7,6,5,1,0,B5,Z06B44,6B,5B,1/16/2006,1/16/2006,1/14/2016,10
2896,B0547,5,B,5B,Muslim,Friends,Friend1,1,5,F,47,5,5,7,7,5,7,6,7,5,6,6,3,7,NA,2,1,1,1,1,1,1,1,3,1,1,5,2,1,4,3,2,2,1,1,1,1,1,1,2,1,M,Muslim,2,2,3,1,1,1,3,2,1,1,1,4,2,4,1,2,4,1,3,1,1,4,5,7,1,NA,2,0,1,B5,Z06C43,6C,5B,10/3/2005,10/3/2005,1/14/2016,10.28767123
2903,B0548,5,B,5B,Muslim,Friends,Friend1,1,40,F,48,5,4,4,7,5,7,7,6,6,6,6,3,7,ALAVI VOHRA,2,1,1,2,1,1,1,1,1,1,1,1,2,1,4,2,2,2,1,1,2,2,1,1,1,3,F,Muslim,1,1,1,1,1,1,1,1,1,1,1,4,4,3,1,1,1,1,1,1,1,5,5,1,7,1,7,1,1,B5,Z06C44,6C,5B,10/27/2005,10/26/2005,1/14/2016,10.22191781
